rank,itemName,itemPrice,itemUrl,reviewAverage
1,BARFOUT! バァフアウト! 2021年4月号 APRIL 2021 Volume 307 岩本 照（Snow Man） （Brown's books）,968,https://item.rakuten.co.jp/book/16644562/,0.0
2,ステージスクエア vol.49 [ 日之出出版 ],980,https://item.rakuten.co.jp/book/16637001/,0.0
3,滝沢眞規子が本当に欲しかった LUNCH BOX BOOK,2530,https://item.rakuten.co.jp/book/16629735/,0.0
4,ちいかわ　なんか小さくてかわいいやつ（1）なんか楽しくて飾れる絵本付き特装版 （講談社キャラクターズA） [ ナガノ ],1870,https://item.rakuten.co.jp/book/16589141/,5.0
5,anan (アンアン) 2021年 2/17号 [雑誌],679,https://item.rakuten.co.jp/book/16628641/,5.0
6,ヒプノシスマイクーDivision　Rap　Battle-side　D．H＆B．A．T（3）CD付き限定版 （講談社キャラクターズA） [ EVIL LINE RECORDS ],2200,https://item.rakuten.co.jp/book/16634717/,0.0
7,「30歳まで童貞だと魔法使いになれるらしい」7巻特装版　恋する男たちの純愛（ピュアラブ）妄想小冊子付き （SEコミックスプレミアム） [ 豊田悠 ],1650,https://item.rakuten.co.jp/book/16645539/,0.0
8,本当の自由を手に入れる　お金の大学 [ 両＠リベ大学長 ],1540,https://item.rakuten.co.jp/book/16310040/,4.6
9,Myojo (ミョウジョウ) 2021年 04月号 [雑誌],750,https://item.rakuten.co.jp/book/16636920/,0.0
10,七つ屋志のぶの宝石匣（13）【電子書籍】[ 二ノ宮知子 ],550,https://item.rakuten.co.jp/rakutenkobo-ebooks/1dab49ea744e3fdaa83af9e060854c3d/,0.0
11,脊柱管狭窄症　自力で克服！　腰の名医が教える最新1分体操大全 国際腰椎学会の権威・大学教授が伝授！坐骨神経痛・足裏しびれ・長く歩けない・こむら返り・お尻のしびれ痛などつらいときてきめんに効く症状別ケア （健康実用） [ 菊地臣一など5名 ],1518,https://item.rakuten.co.jp/book/16520360/,5.0
12,duet（デュエット）2021年4月号 [雑誌],779,https://item.rakuten.co.jp/book/16645554/,0.0
13,鬼滅の刃 全巻 1〜23巻セット 全巻 全巻セット 新品 コミック 漫画 マンガ 本　吾峠 呼世晴 著 鬼滅の刃 きめつのやいば 鬼滅の刃 全巻 鬼滅の刃 1-23,13950,https://item.rakuten.co.jp/t-crown/kimetunoyaiba/,4.57
14,MIX（17）【電子書籍】[ あだち充 ],495,https://item.rakuten.co.jp/rakutenkobo-ebooks/8bd6580af10033c191b5bea6105a8e4c/,0.0
15,映画ノベライズ　天外者 [ 小松 江里子 ],1485,https://item.rakuten.co.jp/book/16638696/,0.0
16,『鬼滅の刃』吾峠呼世晴画集ー幾星霜ー （愛蔵版コミックス） [ 吾峠 呼世晴 ],1650,https://item.rakuten.co.jp/book/16540038/,4.93
17,スマホ脳 （新潮新書） [ アンデシュ・ハンセン ],1078,https://item.rakuten.co.jp/book/16502072/,4.5
18,からかい上手の高木さん（15）【電子書籍】[ 山本崇一朗 ],605,https://item.rakuten.co.jp/rakutenkobo-ebooks/1db971af69fd30f49f4775353eef47e7/,0.0
19,【サイン本】天の川の舟乗り 名探偵音野順の事件簿 [ 北山 猛邦 ],1760,https://item.rakuten.co.jp/book/16640329/,0.0
20,鬼滅の刃 17 （ジャンプコミックス） [ 吾峠 呼世晴 ],484,https://item.rakuten.co.jp/book/16023459/,4.82
21,呪術廻戦 全巻セット 0-14巻 全巻 セット コミック 0 全巻 セット 呪術廻戦　14巻　呪術廻戦　14　全15巻　呪術 漫画 全巻 ジャンプ コミック 漫画 マンガ 本　芥見下々 じゅじゅつかいせん,9400,https://item.rakuten.co.jp/bell-world/jyujyutu-0-13set/,4.89
22,鬼滅の刃 16 （ジャンプコミックス） [ 吾峠 呼世晴 ],484,https://item.rakuten.co.jp/book/15924119/,4.79
23,【楽天ブックス限定特典】WHITE　graph　005(限定ポスター1枚) （第一事業局単行本シリーズ） [ 講談社 ],1500,https://item.rakuten.co.jp/book/16644116/,0.0
24,鬼滅の刃 15 （ジャンプコミックス） [ 吾峠 呼世晴 ],484,https://item.rakuten.co.jp/book/15823451/,4.83
25,MIX（17） （ゲッサン少年サンデーコミックス） [ あだち 充 ],530,https://item.rakuten.co.jp/book/16594452/,0.0
26,ぺんたと小春のめんどいまちがいさがし [ ペンギン飛行機製作所 ],1210,https://item.rakuten.co.jp/book/16496899/,4.54
27,【入荷予約】【新品】ワールドトリガー (1-23巻 最新刊) 全巻セット 【2月下旬より発送予定】,11176,https://item.rakuten.co.jp/mangazenkan/m7880469080/,4.53
28,鬼滅の刃 14 （ジャンプコミックス） [ 吾峠 呼世晴 ],484,https://item.rakuten.co.jp/book/15714154/,4.67
29,タッチペンで音が聞ける！はじめてずかん1000 英語つき [ 小学館 ],4928,https://item.rakuten.co.jp/book/16353156/,4.7
30,鬼滅の刃 13 （ジャンプコミックス） [ 吾峠 呼世晴 ],484,https://item.rakuten.co.jp/book/15644905/,4.79
